director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes,profit,total
Andrew Adamson,258.0,150.0,80.0,Pierfrancesco Favino,22000.0,141614023,Action,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,149922,22697,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,PG,225000000,2008,6.6,2.35,0,-83385977,141614023
Joss Whedon,703.0,173.0,0.0,Robert Downey Jr.,26000.0,623279547,Action,Chris Hemsworth,The Avengers,995415,87697,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722.0,English,USA,PG-13,220000000,2012,8.1,1.85,123000,403279547,623279547
Rob Marshall,448.0,136.0,252.0,Sam Claflin,40000.0,241063875,Action,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,370704,54083,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,PG-13,250000000,2011,6.7,2.35,58000,-8936125,241063875
Barry Sonnenfeld,451.0,106.0,188.0,Michael Stuhlbarg,10000.0,179020854,Action,Will Smith,Men in Black 3,268154,12572,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,PG-13,225000000,2012,6.8,1.85,40000,-45979146,179020854
Peter Jackson,422.0,164.0,0.0,Adam Brown,5000.0,255108370,Adventure,Aidan Turner,The Hobbit: The Battle of the Five Armies,354228,9152,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802.0,English,New Zealand,PG-13,250000000,2014,7.5,2.35,65000,5108370,255108370
Marc Webb,599.0,153.0,464.0,Andrew Garfield,15000.0,262030663,Action,Emma Stone,The Amazing Spider-Man,451803,28489,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,PG-13,230000000,2012,7.0,2.35,56000,32030663,262030663
Ridley Scott,343.0,156.0,0.0,William Hurt,891.0,105219735,Action,Mark Addy,Robin Hood,211765,3244,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,PG-13,200000000,2010,6.7,2.35,17000,-94780265,105219735
Peter Jackson,509.0,186.0,0.0,Adam Brown,5000.0,258355354,Adventure,Aidan Turner,The Hobbit: The Desolation of Smaug,483540,9152,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,PG-13,225000000,2013,7.9,2.35,83000,33355354,258355354
Chris Weitz,251.0,113.0,129.0,Eva Green,16000.0,70083519,Adventure,Christopher Lee,The Golden Compass,149019,24106,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,USA,PG-13,180000000,2007,6.1,2.35,0,-109916481,70083519
Peter Jackson,446.0,201.0,0.0,Thomas Kretschmann,6000.0,218051260,Action,Naomi Watts,King Kong,316018,7123,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,New Zealand,PG-13,207000000,2005,7.2,2.35,0,11051260,218051260
James Cameron,315.0,194.0,0.0,Kate Winslet,29000.0,658672302,Drama,Leonardo DiCaprio,Titanic,793059,45223,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528.0,English,USA,PG-13,200000000,1997,7.7,2.35,26000,458672302,658672302
Anthony Russo,516.0,147.0,94.0,Scarlett Johansson,21000.0,407197282,Action,Robert Downey Jr.,Captain America: Civil War,272670,64798,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022.0,English,USA,PG-13,250000000,2016,8.2,2.35,72000,157197282,407197282
Peter Berg,377.0,131.0,532.0,Alexander Skarsgård,14000.0,65173160,Action,Liam Neeson,Battleship,202382,26679,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,USA,PG-13,209000000,2012,5.9,2.35,44000,-143826840,65173160
Colin Trevorrow,644.0,124.0,365.0,Judy Greer,3000.0,652177271,Action,Bryce Dallas Howard,Jurassic World,418214,8458,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,USA,PG-13,150000000,2015,7.0,2.0,150000,502177271,652177271
Sam Mendes,750.0,143.0,0.0,Helen McCrory,883.0,304360277,Action,Albert Finney,Skyfall,522030,2039,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498.0,English,UK,PG-13,200000000,2012,7.8,2.35,80000,104360277,304360277
Sam Raimi,300.0,135.0,0.0,James Franco,24000.0,373377893,Action,J.K. Simmons,Spider-Man 2,411164,43388,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303.0,English,USA,PG-13,200000000,2004,7.3,2.35,0,173377893,373377893
Shane Black,608.0,195.0,1000.0,Jon Favreau,21000.0,408992272,Action,Robert Downey Jr.,Iron Man 3,557489,30426,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187.0,English,USA,PG-13,200000000,2013,7.2,2.35,95000,208992272,408992272
Tim Burton,451.0,108.0,13000.0,Alan Rickman,40000.0,334185206,Adventure,Johnny Depp,Alice in Wonderland,306320,79957,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736.0,English,USA,PG,200000000,2010,6.5,1.85,24000,134185206,334185206
Brett Ratner,334.0,104.0,420.0,Kelsey Grammer,20000.0,234360014,Action,Hugh Jackman,X-Men: The Last Stand,383427,21714,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912.0,English,Canada,PG-13,210000000,2006,6.8,2.35,0,24360014,234360014
Dan Scanlon,376.0,104.0,37.0,Tyler Labine,12000.0,268488329,Adventure,Steve Buscemi,Monsters University,235025,14863,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,USA,G,200000000,2013,7.3,1.85,44000,68488329,268488329
Michael Bay,366.0,150.0,0.0,Kevin Dunn,894.0,402076689,Action,Glenn Morshower,Transformers: Revenge of the Fallen,323207,3218,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439.0,English,USA,PG-13,200000000,2009,6.0,2.35,0,202076689,402076689
Michael Bay,378.0,165.0,0.0,Sophia Myles,974.0,245428137,Action,Bingbing Li,Transformers: Age of Extinction,242420,3988,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918.0,English,USA,PG-13,210000000,2014,5.7,2.35,56000,35428137,245428137
Sam Raimi,525.0,130.0,0.0,Mila Kunis,44000.0,234903076,Adventure,Tim Holmes,Oz the Great and Powerful,175409,73441,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511.0,English,USA,PG,215000000,2013,6.4,2.35,60000,19903076,234903076
Marc Webb,495.0,142.0,464.0,Andrew Garfield,15000.0,202853933,Action,Emma Stone,The Amazing Spider-Man 2,321227,28631,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,USA,PG-13,200000000,2014,6.7,2.35,41000,2853933,202853933
Joseph Kosinski,469.0,125.0,364.0,Olivia Wilde,12000.0,172051787,Action,Jeff Bridges,TRON: Legacy,264183,25550,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665.0,English,USA,PG,170000000,2010,6.8,2.35,30000,2051787,172051787
John Lasseter,304.0,106.0,487.0,Thomas Kretschmann,1000.0,191450875,Adventure,Joe Mantegna,Cars 2,101178,4482,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283.0,English,USA,G,200000000,2011,6.3,2.35,10000,-8549125,191450875
Martin Campbell,436.0,123.0,258.0,Temuera Morrison,16000.0,116593191,Action,Ryan Reynolds,Green Lantern,223393,17657,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550.0,English,USA,PG-13,200000000,2011,5.6,2.35,24000,-83406809,116593191
Lee Unkrich,453.0,103.0,125.0,John Ratzenberger,15000.0,414984497,Adventure,Tom Hanks,Toy Story 3,544884,19085,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733.0,English,USA,G,200000000,2010,8.3,1.85,30000,214984497,414984497
McG,422.0,118.0,368.0,Bryce Dallas Howard,23000.0,125320003,Action,Christian Bale,Terminator Salvation,286095,27468,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974.0,English,USA,PG-13,200000000,2009,6.6,2.35,0,-74679997,125320003
James Wan,424.0,140.0,0.0,Paul Walker,26000.0,350034110,Action,Jason Statham,Furious 7,278232,79150,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657.0,English,USA,PG-13,190000000,2015,7.2,2.35,94000,160034110,350034110
Marc Forster,654.0,123.0,395.0,Brad Pitt,17000.0,202351611,Action,Peter Capaldi,World War Z,465019,32392,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995.0,English,USA,PG-13,190000000,2013,7.0,2.35,129000,12351611,202351611
Bryan Singer,539.0,149.0,0.0,Peter Dinklage,34000.0,233914986,Action,Jennifer Lawrence,X-Men: Days of Future Past,514125,91434,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752.0,English,USA,PG-13,200000000,2014,8.0,2.35,82000,33914986,233914986
J.J. Abrams,590.0,132.0,14000.0,Bruce Greenwood,19000.0,228756232,Action,Benedict Cumberbatch,Star Trek Into Darkness,395573,21411,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171.0,English,USA,PG-13,190000000,2013,7.8,2.35,92000,38756232,228756232
Bryan Singer,338.0,114.0,0.0,Ewen Bremner,979.0,65171860,Adventure,Eddie Marsan,Jack the Giant Slayer,106416,1766,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205.0,English,USA,PG-13,195000000,2013,6.3,2.35,22000,-129828140,65171860
Baz Luhrmann,490.0,143.0,1000.0,Elizabeth Debicki,29000.0,144812796,Drama,Leonardo DiCaprio,The Great Gatsby,362912,29770,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753.0,English,Australia,PG-13,105000000,2013,7.3,2.35,115000,39812796,144812796
Mike Newell,306.0,116.0,179.0,Richard Coyle,15000.0,90755643,Action,Jake Gyllenhaal,Prince of Persia: The Sands of Time,222403,16149,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453.0,English,USA,PG-13,200000000,2010,6.6,2.35,23000,-109244357,90755643
Guillermo del Toro,575.0,131.0,0.0,Clifton Collins Jr.,16000.0,101785482,Action,Charlie Hunnam,Pacific Rim,381148,19166,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106.0,English,USA,PG-13,190000000,2013,7.0,1.85,83000,-88214518,101785482
Michael Bay,428.0,154.0,0.0,Lester Speight,894.0,352358779,Action,Glenn Morshower,Transformers: Dark of the Moon,326180,2593,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899.0,English,USA,PG-13,195000000,2011,6.3,2.35,46000,157358779,352358779
Steven Spielberg,470.0,122.0,14000.0,Ray Winstone,11000.0,317011114,Action,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,333847,14959,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054.0,English,USA,PG-13,185000000,2008,6.2,2.35,5000,132011114,317011114
Peter Sohn,298.0,93.0,113.0,Jack McGraw,275.0,123070338,Adventure,A.J. Buckley,The Good Dinosaur,62836,696,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345.0,English,USA,PG,47644514,2015,6.8,2.35,20000,75425824,123070338
Mark Andrews,488.0,93.0,56.0,John Ratzenberger,2000.0,237282182,Adventure,Kelly Macdonald,Brave,273556,5005,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,USA,PG,185000000,2012,7.2,2.35,39000,52282182,237282182
Justin Lin,322.0,122.0,681.0,Melissa Roxburgh,998.0,130468626,Action,Sofia Boutella,Star Trek Beyond,53607,1327,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432.0,English,USA,PG-13,185000000,2016,7.5,2.35,30000,-54531374,130468626
Andrew Stanton,421.0,98.0,475.0,Fred Willard,1000.0,223806889,Adventure,John Ratzenberger,WALL·E,718837,2975,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043.0,English,USA,G,180000000,2008,8.4,2.35,16000,43806889,223806889
Brett Ratner,162.0,91.0,420.0,Dana Ivey,268.0,140080850,Action,Tzi Ma,Rush Hour 3,121084,1125,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221.0,English,USA,PG-13,140000000,2007,6.2,2.35,0,80850,140080850
Roland Emmerich,367.0,158.0,776.0,Liam James,1000.0,166112167,Action,Oliver Platt,2012,283418,2144,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,200000000,2009,5.8,2.35,13000,-33887833,166112167
Robert Zemeckis,240.0,96.0,0.0,Colin Firth,18000.0,137850096,Animation,Robin Wright,A Christmas Carol,72809,48878,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249.0,English,USA,PG,200000000,2009,6.8,2.35,0,-62149904,137850096
Lana Wachowski,384.0,127.0,0.0,Mila Kunis,17000.0,47375327,Action,Channing Tatum,Jupiter Ascending,139593,47334,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720.0,English,USA,PG-13,176000000,2015,5.4,2.35,44000,-128624673,47375327
David Yates,248.0,110.0,282.0,Alexander Skarsgård,11000.0,124051759,Action,Christoph Waltz,The Legend of Tarzan,42372,21175,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239.0,English,USA,PG-13,180000000,2016,6.6,2.35,29000,-55948241,124051759
Andrew Adamson,284.0,150.0,80.0,Kiran Shah,1000.0,291709845,Adventure,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",286506,1317,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463.0,English,USA,PG,180000000,2005,6.9,2.35,0,111709845,291709845
Bryan Singer,396.0,144.0,0.0,Michael Fassbender,34000.0,154985087,Action,Jennifer Lawrence,X-Men: Apocalypse,148379,49684,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622.0,English,USA,PG-13,178000000,2016,7.3,2.35,54000,-23014913,154985087
Christopher Nolan,645.0,152.0,22000.0,Heath Ledger,23000.0,533316061,Action,Christian Bale,The Dark Knight,1676169,57802,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667.0,English,USA,PG-13,185000000,2008,9.0,2.35,37000,348316061,533316061
Pete Docter,408.0,96.0,0.0,Delroy Lindo,1000.0,292979556,Adventure,John Ratzenberger,Up,665575,2635,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704.0,English,USA,PG,175000000,2009,8.3,1.85,27000,117979556,292979556
Rob Letterman,219.0,94.0,11.0,Rainn Wilson,1000.0,198332128,Action,Amy Poehler,Monsters vs. Aliens,114553,2579,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187.0,English,USA,PG,175000000,2009,6.5,2.35,0,23332128,198332128
Jon Favreau,486.0,126.0,4000.0,Jeff Bridges,21000.0,318298180,Action,Robert Downey Jr.,Iron Man,696338,39252,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,140000000,2008,7.9,2.35,10000,178298180,318298180
Martin Scorsese,682.0,126.0,17000.0,Christopher Lee,17000.0,73820094,Adventure,Chloë Grace Moretz,Hugo,245333,36017,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678.0,English,USA,PG,170000000,2011,7.5,1.85,42000,-96179906,73820094
Barry Sonnenfeld,85.0,106.0,188.0,Salma Hayek,10000.0,113745408,Action,Will Smith,Wild Wild West,129601,15870,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648.0,English,USA,PG-13,170000000,1999,4.8,1.85,0,-56254592,113745408
Rob Cohen,264.0,112.0,357.0,Brendan Fraser,5000.0,102176165,Action,Jet Li,The Mummy: Tomb of the Dragon Emperor,117927,9131,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501.0,English,USA,PG-13,145000000,2008,5.2,2.35,0,-42823835,102176165
David Ayer,418.0,123.0,452.0,Robin Atkin Downes,10000.0,161087183,Action,Will Smith,Suicide Squad,118992,11287,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971.0,English,USA,PG-13,175000000,2016,6.9,2.35,80000,-13912817,161087183
Tom Shadyac,186.0,96.0,293.0,Morgan Freeman,87000.0,100289690,Comedy,Jimmy Bennett,Evan Almighty,115099,108016,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257.0,English,USA,PG,175000000,2007,5.4,2.35,2000,-74710310,100289690
Doug Liman,585.0,113.0,218.0,Lara Pulver,10000.0,100189501,Action,Tom Cruise,Edge of Tomorrow,431620,12652,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741.0,English,USA,PG-13,178000000,2014,7.9,2.35,77000,-77810499,100189501
Kevin Reynolds,91.0,176.0,58.0,Rick Aviles,711.0,88246220,Action,Jeanne Tripplehorn,Waterworld,144337,1004,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309.0,English,USA,PG-13,175000000,1995,6.1,1.85,0,-86753780,88246220
Stephen Sommers,250.0,118.0,208.0,Dennis Quaid,23000.0,150167630,Action,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,174578,26683,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534.0,English,USA,PG-13,175000000,2009,5.8,2.35,0,-24832370,150167630
Pete Docter,536.0,95.0,0.0,Mindy Kaling,1000.0,356454367,Adventure,Amy Poehler,Inside Out,345198,2944,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773.0,English,USA,PG,175000000,2015,8.3,1.85,118000,181454367,356454367
Jon Favreau,370.0,106.0,4000.0,Bill Murray,19000.0,362645141,Adventure,Scarlett Johansson,The Jungle Book,106072,32921,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398.0,English,UK,PG,175000000,2016,7.8,1.85,65000,187645141,362645141
Jon Favreau,453.0,124.0,4000.0,Scarlett Johansson,21000.0,312057433,Action,Robert Downey Jr.,Iron Man 2,522371,48638,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723.0,English,USA,PG-13,200000000,2010,7.0,2.35,18000,112057433,312057433
Rupert Sanders,416.0,132.0,274.0,Kristen Stewart,26000.0,155111815,Action,Chris Hemsworth,Snow White and the Huntsman,228554,72881,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710.0,English,USA,PG-13,170000000,2012,6.1,2.35,53000,-14888185,155111815
Robert Stromberg,401.0,97.0,171.0,Sharlto Copley,11000.0,241407328,Action,Angelina Jolie Pitt,Maleficent,252257,15516,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634.0,English,USA,PG,180000000,2014,7.0,2.35,89000,61407328,241407328
Matt Reeves,521.0,130.0,198.0,Judy Greer,10000.0,208543795,Action,Gary Oldman,Dawn of the Planet of the Apes,317542,14363,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620.0,English,USA,PG-13,170000000,2014,7.6,1.85,45000,38543795,208543795
Carl Rinsch,218.0,128.0,47.0,Cary-Hiroyuki Tagawa,18000.0,38297305,Action,Keanu Reeves,47 Ronin,116994,20965,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,USA,PG-13,175000000,2013,6.3,2.35,35000,-136702695,38297305
Anthony Russo,576.0,136.0,94.0,Chris Evans,19000.0,259746958,Action,Scarlett Johansson,Captain America: The Winter Soldier,496749,36188,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742.0,English,USA,PG-13,170000000,2014,7.8,2.35,55000,89746958,259746958
Mike Mitchell,226.0,93.0,31.0,Kathy Griffin,4000.0,238371987,Adventure,Jon Hamm,Shrek Forever After,138661,4628,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173.0,English,USA,PG,165000000,2010,6.4,2.35,0,73371987,238371987
Brad Bird,443.0,130.0,663.0,Chris Bauer,2000.0,93417865,Action,Judy Greer,Tomorrowland,128306,5046,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497.0,English,USA,PG,190000000,2015,6.5,2.2,37000,-96582135,93417865
Don Hall,384.0,102.0,38.0,Daniel Henney,756.0,222487711,Action,Damon Wayans Jr.,Big Hero 6,279093,2963,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433.0,English,USA,PG,165000000,2014,7.9,2.39,41000,57487711,222487711
Rich Moore,377.0,101.0,66.0,Sarah Silverman,975.0,189412677,Adventure,Jack McBrayer,Wreck-It Ralph,272534,4451,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345.0,English,USA,PG,165000000,2012,7.8,2.35,40000,24412677,189412677
Robert Zemeckis,188.0,100.0,0.0,Eddie Deezen,15000.0,665426,Adventure,Tom Hanks,The Polar Express,120798,16264,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444.0,English,USA,G,165000000,2004,6.6,2.35,10000,-164334574,665426
Roland Emmerich,286.0,120.0,776.0,Sela Ward,890.0,102315545,Action,Vivica A. Fox,Independence Day: Resurgence,58137,3233,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520.0,English,USA,PG-13,165000000,2016,5.5,2.35,67000,-62684455,102315545
Dean DeBlois,288.0,98.0,255.0,America Ferrera,18000.0,217387997,Adventure,Gerard Butler,How to Train Your Dragon,485430,20453,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492.0,English,USA,PG,165000000,2010,8.2,2.35,33000,52387997,217387997
Jonathan Mostow,280.0,109.0,84.0,M.C. Gainey,648.0,150350192,Action,Nick Stahl,Terminator 3: Rise of the Machines,305340,1769,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676.0,English,USA,R,200000000,2003,6.4,2.35,0,-49649808,150350192
James Gunn,653.0,121.0,571.0,Vin Diesel,14000.0,333130696,Action,Bradley Cooper,Guardians of the Galaxy,682155,32438,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097.0,English,USA,PG-13,170000000,2014,8.1,2.35,96000,163130696,333130696
Christopher Nolan,712.0,169.0,22000.0,Anne Hathaway,11000.0,187991439,Adventure,Matthew McConaughey,Interstellar,928227,31488,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725.0,English,USA,PG-13,165000000,2014,8.6,2.35,349000,22991439,187991439
Christopher Nolan,642.0,148.0,22000.0,Tom Hardy,29000.0,292568851,Action,Leonardo DiCaprio,Inception,1468200,81115,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803.0,English,USA,PG-13,160000000,2010,8.8,2.35,175000,132568851,292568851
Rob Cohen,187.0,106.0,357.0,Vin Diesel,23000.0,144512310,Action,Paul Walker,The Fast and the Furious,272223,45327,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988.0,English,USA,PG-13,38000000,2001,6.7,2.35,14000,106512310,144512310
